"id","upstreamId","queryId","schedulingThreadId","schedulingTime(us)","executionThreadId","startTime(us)","stopTime(us)","pipeline"
20622512007,-1,1,1,0,33,7033,42318,"StreamingPipeline(NodeIndexSeekOperator)"
315620666294390,315620622512007,1,1,43782,33,43888,88677,"StreamingPipeline(ExpandAllOperator,FilterOperator)"
315620711227835,315620666294390,1,1,88715,33,88752,516355,"StreamingPipeline(ExpandAllOperator,FilterOperator)"
315621138955196,315620711227835,1,1,516443,33,517998,2184688,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315622807285178,315621138955196,1,1,2184773,33,2184876,2872382,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315623494931211,315622807285178,1,1,2872419,33,2872451,4112719,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315624735271982,315623494931211,1,1,4112759,33,4112812,4849978,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315625472622197,315624735271982,1,1,4850110,33,4850230,5661240,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315626283807178,315625472622197,1,1,5661295,33,5661334,6172872,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315626795424933,315626283807178,1,1,6172912,33,6172955,6765376,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315627387959077,315626795424933,1,1,6765447,33,6765480,7166518,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315627789071427,315627387959077,1,1,7166559,33,7166594,7461704,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315628084307150,315627789071427,1,1,7461795,33,7461865,7844619,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315628467179082,315628084307150,1,1,7844667,33,7844710,8004238,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
315628626786289,315628467179082,1,1,8004274,33,8004321,8229901,"StreamingPipeline(ExpandAllOperator,FilterOperator,ProjectOperator,ProduceResultOperator)"
